set;model;epochs;loss;accuracy;val_loss;val_accuracy
DistalPhalanxOutlineCorrect;inception;1000;5.2415e-05;1.0000;1.3585;0.7935
DistalPhalanxOutlineCorrect;cnn;20;0.3920;0.8267;12.5854;0.4167
DistalPhalanxOutlineCorrect;cnn;100;0.2782;0.8833;0.7631;0.7065
DistalPhalanxOutlineCorrect;cnn;500;0.0464;0.9800;1.6479;0.7210
DistalPhalanxOutlineCorrect;cnn;1000;0.0020;1.0000;1.3104;0.7572
DistalPhalanxOutlineCorrect;resnet;20;0.2738;0.8867;9.1684;0.4167
DistalPhalanxOutlineCorrect;resnet;100;0.0363;0.9900;0.9093;0.7754
DistalPhalanxOutlineCorrect;resnet;500;0.0015;1.0000;1.6602;0.7428
DistalPhalanxOutlineCorrect;resnet;1000;1.6884e-04;1.0000;1.3964;0.7645
DistalPhalanxOutlineCorrect;encoder;20;0.4477;0.7850;0.5953;0.7029
DistalPhalanxOutlineCorrect;encoder;100;0.2913;0.8750;0.6421;0.7536
DistalPhalanxOutlineCorrect;encoder;500;0.1465;0.9483;0.8406;0.7609
DistalPhalanxOutlineCorrect;encoder;1000;0.0674;0.9783;1.1541;0.7609
DistalPhalanxTW;inception;20;0.4189;0.8575;1.4402;0.3237
DistalPhalanxTW;inception;100;0.0639;0.9850;5.6550;0.3957
DistalPhalanxTW;inception;500;6.8349e-04;1.0000;1.8700;0.6619
DistalPhalanxTW;inception;1000;3.3347e-04;1.0000;1.8650;0.6763
DistalPhalanxTW;cnn;20;0.5465;0.8100;6.1232;0.3022
DistalPhalanxTW;cnn;100;0.3990;0.8525;1.0925;0.5827
DistalPhalanxTW;cnn;500;0.0315;0.9925;1.5339;0.7122
DistalPhalanxTW;cnn;1000;0.0041;1.0000;1.6385;0.7266
DistalPhalanxTW;resnet;20;0.4251;0.8225;6.5496;0.3022
DistalPhalanxTW;resnet;100;0.0762;0.9875;1.4746;0.6547
DistalPhalanxTW;resnet;500;5.3423e-04;1.0000;1.4763;0.6906
DistalPhalanxTW;resnet;1000;1.4060e-04;1.0000;1.6472;0.6906
